epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.738,1.41476,0.59218,0.98323,0.96176,0.89404,0.94739,0.71995,0.92626,0.64883,0.89987,0.00033251,0.00033251,0.0670815
2,314.738,1.31589,0.55262,0.97485,0.92994,0.91004,0.95348,0.72042,0.9318,0.58833,0.89877,0.00065266,0.00065266,0.0340683
3,466.116,1.27894,0.54604,0.95949,0.95602,0.82671,0.91718,0.68872,0.9509,0.84924,0.90492,0.00095961,0.00095961,0.00104191
4,617.376,1.32692,0.55703,0.96839,0.92711,0.91667,0.95592,0.72508,0.92419,0.60607,0.90073,0.0009406,0.0009406,0.0009406
5,766.3,1.25672,0.53625,0.9602,0.95298,0.90949,0.95973,0.72909,0.9689,0.59739,0.90758,0.0009208,0.0009208,0.0009208
6,915.254,1.25844,0.53246,0.95116,0.95879,0.89888,0.9553,0.68808,1.04437,0.63354,0.91885,0.000901,0.000901,0.000901
7,1069.58,1.22487,0.52032,0.96365,0.94957,0.91998,0.95962,0.69323,1.03085,0.59813,0.91158,0.0008812,0.0008812,0.0008812
8,1220.96,1.32441,0.54247,0.94228,0.95092,0.87674,0.94858,0.71559,0.92735,0.64261,0.90976,0.0008614,0.0008614,0.0008614
9,1368.75,1.195,0.51576,0.95526,0.94608,0.88052,0.94331,0.69025,1.00438,0.69191,0.90709,0.0008416,0.0008416,0.0008416
10,1518.59,1.29853,0.53602,0.93414,0.94265,0.89045,0.94445,0.70085,1.01291,0.65607,0.92001,0.0008218,0.0008218,0.0008218
11,1659.3,1.32653,0.54584,0.92619,0.93877,0.88328,0.94296,0.69369,0.9785,0.67101,0.90162,0.000802,0.000802,0.000802
12,1808.47,1.21508,0.51141,0.93434,0.95701,0.8723,0.93922,0.68249,1.02014,0.67562,0.90404,0.0007822,0.0007822,0.0007822
13,1958.23,1.29032,0.52853,0.93662,0.93637,0.8968,0.9546,0.72317,0.93098,0.58912,0.90177,0.0007624,0.0007624,0.0007624
14,2121.2,1.21556,0.51201,0.93637,0.96639,0.87268,0.94011,0.70395,0.96692,0.66133,0.91259,0.0007426,0.0007426,0.0007426
15,2277.82,1.20026,0.502,0.93842,0.95685,0.86881,0.93613,0.70801,0.93995,0.66448,0.9011,0.0007228,0.0007228,0.0007228
