epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3025,2.12203,2.04235,1.34111,0.79432,0.71036,0.79136,0.3471,1.83859,1.35483,1.29012,0.000653846,0.000653846,0.000653846
2,122.657,1.78919,1.1518,1.2338,0.81201,0.70124,0.79296,0.38403,1.68581,1.12039,1.29551,0.00130744,0.00130744,0.00130744
3,189.009,1.68539,1.06702,1.19359,0.84619,0.63644,0.77836,0.36673,1.81709,1.13906,1.34223,0.00194783,0.00194783,0.00194783
4,254.155,1.62927,1.05023,1.1834,0.83524,0.76612,0.85062,0.44901,1.59269,1.00597,1.2426,0.0019406,0.0019406,0.0019406
5,321.861,1.58772,0.94388,1.14498,0.93058,0.79275,0.88194,0.46824,1.65027,0.96522,1.25995,0.0019208,0.0019208,0.0019208
6,396.791,1.61288,0.94969,1.15213,0.8585,0.75907,0.82934,0.30153,2.12946,1.14887,1.40752,0.001901,0.001901,0.001901
7,471.525,1.71098,0.98494,1.18798,0.8799,0.77547,0.85994,0.42842,1.58399,1.00756,1.23494,0.0018812,0.0018812,0.0018812
8,549.854,1.5776,0.93377,1.14158,0.96261,0.79102,0.89075,0.49332,1.51901,0.95316,1.19263,0.0018614,0.0018614,0.0018614
9,631.848,1.48198,0.86938,1.09951,0.92571,0.8247,0.90182,0.53854,1.41677,0.85672,1.16477,0.0018416,0.0018416,0.0018416
10,714.425,1.42716,0.83338,1.10189,0.93568,0.82918,0.90269,0.5136,1.48267,0.88966,1.2037,0.0018218,0.0018218,0.0018218
11,796.806,1.37818,0.81261,1.07635,0.92026,0.8272,0.90767,0.56045,1.31537,0.78402,1.11882,0.001802,0.001802,0.001802
12,878.001,1.39095,0.80113,1.08754,0.94258,0.83161,0.91741,0.55795,1.33266,0.8017,1.12031,0.0017822,0.0017822,0.0017822
13,958.866,1.36337,0.7609,1.05825,0.97173,0.83107,0.91632,0.57512,1.28978,0.79004,1.11059,0.0017624,0.0017624,0.0017624
14,1039.49,1.32523,0.75936,1.07621,0.97029,0.82556,0.9143,0.58002,1.27746,0.75367,1.10608,0.0017426,0.0017426,0.0017426
15,1113.52,1.28162,0.72298,1.03043,0.96158,0.84282,0.91946,0.58862,1.25622,0.75039,1.09606,0.0017228,0.0017228,0.0017228
16,1185.66,1.2613,0.71797,1.02894,0.96815,0.83997,0.92332,0.60405,1.20909,0.74202,1.06743,0.001703,0.001703,0.001703
17,1254.82,1.26095,0.69674,1.03364,0.97,0.83592,0.92679,0.56612,1.40125,0.74826,1.12223,0.0016832,0.0016832,0.0016832
18,1320.22,1.27203,0.70731,1.04119,0.95932,0.85539,0.93022,0.6045,1.21789,0.70234,1.08548,0.0016634,0.0016634,0.0016634
19,1384.24,1.25173,0.69573,1.02859,0.9515,0.8471,0.93017,0.60342,1.23306,0.70978,1.07091,0.0016436,0.0016436,0.0016436
20,1447.07,1.23479,0.6774,1.01004,0.94603,0.86284,0.93272,0.62151,1.20533,0.6881,1.05857,0.0016238,0.0016238,0.0016238
21,1510.26,1.24353,0.67341,1.02215,0.95718,0.8686,0.93635,0.62848,1.18886,0.6823,1.06005,0.001604,0.001604,0.001604
22,1574.8,1.21753,0.67166,1.01852,0.96162,0.86269,0.92995,0.59559,1.27135,0.71124,1.0868,0.0015842,0.0015842,0.0015842
23,1638.15,1.21478,0.67009,1.00016,0.97005,0.85579,0.94055,0.62595,1.16111,0.66807,1.0383,0.0015644,0.0015644,0.0015644
24,1701.54,1.17167,0.65515,1.01055,0.96554,0.85579,0.94113,0.63498,1.1684,0.66919,1.05591,0.0015446,0.0015446,0.0015446
25,1764.74,1.16482,0.65345,0.99302,0.96232,0.86183,0.94428,0.64672,1.11956,0.6653,1.0385,0.0015248,0.0015248,0.0015248
26,1826.97,1.10013,0.62184,0.97114,0.96124,0.86701,0.93929,0.63145,1.15612,0.65916,1.04489,0.001505,0.001505,0.001505
27,1889.76,1.1235,0.6283,0.98854,0.97638,0.85678,0.94787,0.62246,1.20753,0.66218,1.04607,0.0014852,0.0014852,0.0014852
28,1953.45,1.13008,0.63465,0.9805,0.96836,0.86442,0.94709,0.63679,1.15238,0.6616,1.03353,0.0014654,0.0014654,0.0014654
29,2019.9,1.1026,0.61842,0.97184,0.97224,0.8772,0.94785,0.62776,1.18532,0.63486,1.03575,0.0014456,0.0014456,0.0014456
30,2087.58,1.15627,0.62941,1.00038,0.95993,0.88083,0.95209,0.6619,1.08481,0.6157,1.01784,0.0014258,0.0014258,0.0014258
31,2160.69,1.12569,0.60699,0.98074,0.96944,0.87392,0.95647,0.67458,1.06381,0.59955,1.01182,0.001406,0.001406,0.001406
32,2230.32,1.09337,0.6037,0.98113,0.96955,0.87991,0.95825,0.65949,1.09208,0.60967,1.01233,0.0013862,0.0013862,0.0013862
33,2299.36,1.10217,0.59198,0.96676,0.96297,0.88342,0.9537,0.59506,1.27173,0.63238,1.05595,0.0013664,0.0013664,0.0013664
34,2370.25,1.10902,0.60309,0.98134,0.95958,0.88083,0.95732,0.67485,1.05236,0.59328,1.00611,0.0013466,0.0013466,0.0013466
35,2439.05,1.05631,0.58013,0.95638,0.96941,0.87579,0.96055,0.68743,1.00537,0.56824,0.99412,0.0013268,0.0013268,0.0013268
36,2509.88,1.06397,0.57618,0.96218,0.97055,0.89033,0.96221,0.6894,1.00577,0.56597,0.98721,0.001307,0.001307,0.001307
37,2579.19,1.02914,0.56879,0.96119,0.9739,0.87651,0.95917,0.67657,1.02976,0.57564,0.99027,0.0012872,0.0012872,0.0012872
38,2647.81,1.0328,0.56522,0.95145,0.96738,0.89033,0.95961,0.68711,1.02332,0.57713,0.99803,0.0012674,0.0012674,0.0012674
39,2717.27,1.00695,0.55931,0.95608,0.97315,0.89292,0.96468,0.68518,1.02514,0.56903,0.98881,0.0012476,0.0012476,0.0012476
40,2788.11,1.00679,0.56556,0.95008,0.9664,0.89419,0.96691,0.7,0.97535,0.56399,0.97763,0.0012278,0.0012278,0.0012278
41,2857.92,0.99158,0.55906,0.94563,0.95725,0.89551,0.96501,0.68524,1.01625,0.56603,0.98637,0.001208,0.001208,0.001208
42,2927.02,0.9969,0.56212,0.95092,0.97218,0.88083,0.96381,0.68237,1.04814,0.5807,1.00315,0.0011882,0.0011882,0.0011882
43,2997.3,0.98058,0.54956,0.93918,0.97103,0.90415,0.96296,0.70268,0.96088,0.54932,0.97061,0.0011684,0.0011684,0.0011684
44,3068,0.97129,0.54748,0.95222,0.97182,0.89327,0.95989,0.70574,0.95072,0.53943,0.96755,0.0011486,0.0011486,0.0011486
45,3139.28,0.97344,0.54877,0.93526,0.96117,0.90587,0.96567,0.70947,0.96819,0.54206,0.96895,0.0011288,0.0011288,0.0011288
46,3209.87,0.96038,0.53737,0.93537,0.9694,0.90265,0.97378,0.70981,0.97026,0.5375,0.97016,0.001109,0.001109,0.001109
47,3280.36,0.97526,0.54718,0.94005,0.9687,0.91537,0.97066,0.71462,0.9615,0.5307,0.9621,0.0010892,0.0010892,0.0010892
48,3349.66,0.94819,0.52711,0.92445,0.96339,0.90933,0.97225,0.71475,0.96825,0.55633,0.9671,0.0010694,0.0010694,0.0010694
49,3419.41,0.91775,0.51073,0.92183,0.97103,0.89378,0.97167,0.71701,0.92042,0.5125,0.95552,0.0010496,0.0010496,0.0010496
50,3488.67,0.9414,0.52197,0.92283,0.97656,0.89292,0.97257,0.72908,0.90781,0.51529,0.95115,0.0010298,0.0010298,0.0010298
51,3558.61,0.93979,0.52218,0.92903,0.96464,0.91876,0.97638,0.73081,0.90662,0.51001,0.94652,0.00101,0.00101,0.00101
52,3635.04,0.91959,0.51361,0.92476,0.96691,0.91883,0.96901,0.73359,0.90162,0.50844,0.95029,0.0009902,0.0009902,0.0009902
53,3706.67,0.92319,0.51513,0.92593,0.96519,0.91451,0.97623,0.73914,0.89412,0.49738,0.94665,0.0009704,0.0009704,0.0009704
54,3776.12,0.95583,0.52577,0.92682,0.96666,0.92629,0.97645,0.71062,0.97892,0.51735,0.96944,0.0009506,0.0009506,0.0009506
55,3846.45,0.92654,0.51145,0.92694,0.96921,0.92421,0.98049,0.72883,0.91148,0.50342,0.94864,0.0009308,0.0009308,0.0009308
56,3916.22,0.88183,0.49464,0.91448,0.95947,0.94473,0.98297,0.75152,0.84672,0.48846,0.93148,0.000911,0.000911,0.000911
57,3984.36,0.87377,0.49002,0.90662,0.96017,0.93668,0.97852,0.74385,0.86207,0.48997,0.93201,0.0008912,0.0008912,0.0008912
58,4048.73,0.8729,0.49757,0.91282,0.96331,0.92401,0.97834,0.74854,0.83903,0.47995,0.92437,0.0008714,0.0008714,0.0008714
59,4111.93,0.87903,0.49543,0.9016,0.96449,0.93831,0.97946,0.74992,0.83863,0.48416,0.92587,0.0008516,0.0008516,0.0008516
60,4173.32,0.86472,0.48861,0.90785,0.97657,0.93577,0.98063,0.74262,0.85967,0.48147,0.92855,0.0008318,0.0008318,0.0008318
61,4235.3,0.87676,0.49284,0.91052,0.95263,0.93178,0.98051,0.70032,1.01142,0.51655,0.96524,0.000812,0.000812,0.000812
62,4298.91,0.86788,0.48734,0.90725,0.9484,0.93647,0.97914,0.74207,0.85419,0.48223,0.92572,0.0007922,0.0007922,0.0007922
63,4361.51,0.86165,0.48611,0.90763,0.95777,0.93523,0.98048,0.75904,0.80681,0.46812,0.91688,0.0007724,0.0007724,0.0007724
64,4424.78,0.85671,0.48486,0.90545,0.96258,0.93869,0.98172,0.75259,0.84741,0.47338,0.9239,0.0007526,0.0007526,0.0007526
65,4489.6,0.82217,0.46788,0.8854,0.97132,0.93582,0.983,0.76182,0.82715,0.46703,0.92133,0.0007328,0.0007328,0.0007328
66,4554.99,0.84605,0.48206,0.90161,0.96377,0.93955,0.98291,0.75132,0.86224,0.47785,0.92615,0.000713,0.000713,0.000713
67,4619.16,0.86055,0.4828,0.90403,0.97572,0.92573,0.98042,0.76124,0.81475,0.47259,0.91849,0.0006932,0.0006932,0.0006932
68,4682.37,0.80828,0.46444,0.89175,0.96712,0.93984,0.98183,0.76914,0.81061,0.46675,0.91662,0.0006734,0.0006734,0.0006734
69,4748.08,0.81936,0.47203,0.89618,0.97139,0.9384,0.98223,0.7769,0.76784,0.45153,0.90671,0.0006536,0.0006536,0.0006536
70,4812.24,0.82103,0.46874,0.89473,0.96611,0.93696,0.98335,0.76042,0.81791,0.46486,0.91539,0.0006338,0.0006338,0.0006338
71,4877.83,0.83054,0.4708,0.90095,0.96803,0.94141,0.98326,0.77228,0.79952,0.45242,0.90911,0.000614,0.000614,0.000614
72,4942.81,0.79632,0.45706,0.894,0.97221,0.93869,0.98266,0.7775,0.77266,0.44532,0.90608,0.0005942,0.0005942,0.0005942
73,5007.05,0.80457,0.4587,0.88888,0.97875,0.92919,0.9827,0.77197,0.79647,0.45646,0.90875,0.0005744,0.0005744,0.0005744
74,5072.25,0.81206,0.46686,0.89392,0.97583,0.94301,0.98341,0.77346,0.79153,0.4557,0.90905,0.0005546,0.0005546,0.0005546
75,5137.03,0.80364,0.45948,0.89785,0.97413,0.94282,0.98573,0.77484,0.77746,0.44389,0.90791,0.0005348,0.0005348,0.0005348
76,5202.79,0.80685,0.46485,0.89015,0.97146,0.94387,0.98394,0.78219,0.74885,0.44323,0.90003,0.000515,0.000515,0.000515
77,5267.89,0.81164,0.46168,0.8895,0.96575,0.94041,0.98024,0.76267,0.82116,0.45428,0.91683,0.0004952,0.0004952,0.0004952
78,5333.84,0.78885,0.45956,0.89255,0.97323,0.94201,0.97858,0.7776,0.76903,0.44176,0.90426,0.0004754,0.0004754,0.0004754
79,5398.74,0.77738,0.45024,0.87923,0.96953,0.94387,0.98579,0.78247,0.76301,0.43768,0.90292,0.0004556,0.0004556,0.0004556
80,5465.32,0.78586,0.4522,0.88891,0.97482,0.93604,0.98307,0.77694,0.75631,0.43991,0.90067,0.0004358,0.0004358,0.0004358
81,5530.64,0.79537,0.45883,0.88847,0.97165,0.94214,0.98234,0.77077,0.79944,0.45362,0.91071,0.000416,0.000416,0.000416
82,5597.34,0.78939,0.45616,0.88862,0.97243,0.94301,0.98396,0.78965,0.73992,0.43472,0.8973,0.0003962,0.0003962,0.0003962
83,5662.56,0.76795,0.44726,0.88836,0.9655,0.94244,0.98272,0.78516,0.75034,0.43547,0.89936,0.0003764,0.0003764,0.0003764
84,5727.88,0.74971,0.442,0.87837,0.97046,0.94041,0.98531,0.79017,0.7412,0.4284,0.8951,0.0003566,0.0003566,0.0003566
85,5795.22,0.76591,0.44333,0.87811,0.97087,0.94128,0.9843,0.79012,0.73522,0.43178,0.89602,0.0003368,0.0003368,0.0003368
86,5861.38,0.74333,0.43772,0.87899,0.97387,0.9456,0.97966,0.78444,0.73824,0.43014,0.89555,0.000317,0.000317,0.000317
87,5928.13,0.74179,0.43713,0.87323,0.97476,0.94128,0.97925,0.7846,0.74604,0.42987,0.89428,0.0002972,0.0002972,0.0002972
88,5993.31,0.73773,0.43407,0.8762,0.97938,0.9361,0.98207,0.79319,0.70965,0.4188,0.88844,0.0002774,0.0002774,0.0002774
89,6060.03,0.75965,0.43951,0.87919,0.98276,0.9351,0.98555,0.79379,0.71329,0.4193,0.88884,0.0002576,0.0002576,0.0002576
90,6125.03,0.73175,0.43199,0.8751,0.97425,0.94749,0.98738,0.79001,0.74139,0.42953,0.8935,0.0002378,0.0002378,0.0002378
91,6188.92,0.71075,0.43145,0.86732,0.9733,0.9456,0.98341,0.78347,0.75093,0.43633,0.89376,0.000218,0.000218,0.000218
92,6252.21,0.69282,0.42031,0.86521,0.97246,0.94532,0.98531,0.79007,0.73031,0.43573,0.88966,0.0001982,0.0001982,0.0001982
93,6316.64,0.69431,0.41989,0.86433,0.9755,0.94732,0.98292,0.79036,0.73153,0.43449,0.89117,0.0001784,0.0001784,0.0001784
94,6382.02,0.6656,0.40815,0.85853,0.97121,0.95423,0.98746,0.7812,0.75867,0.4408,0.89621,0.0001586,0.0001586,0.0001586
95,6446.32,0.66072,0.40781,0.86066,0.96345,0.95618,0.98217,0.79301,0.7185,0.42676,0.88799,0.0001388,0.0001388,0.0001388
96,6510.27,0.65899,0.40597,0.86084,0.96739,0.94794,0.98161,0.78472,0.74051,0.42947,0.89133,0.000119,0.000119,0.000119
97,6572.01,0.63778,0.39656,0.85334,0.96747,0.94732,0.98247,0.79946,0.69752,0.41644,0.88337,9.92e-05,9.92e-05,9.92e-05
98,6631.82,0.64229,0.39941,0.85294,0.97139,0.94732,0.98637,0.78922,0.73247,0.42424,0.88955,7.94e-05,7.94e-05,7.94e-05
99,6691.53,0.63732,0.39419,0.85293,0.97249,0.94621,0.98444,0.79477,0.70672,0.41735,0.88493,5.96e-05,5.96e-05,5.96e-05
100,6752.33,0.64843,0.39936,0.8553,0.97086,0.94948,0.98492,0.79828,0.7016,0.41631,0.88337,3.98e-05,3.98e-05,3.98e-05
